pr_number,stratum,reviewer,comment_id,source,file,line,original_comment,normalized_issue,class,atomic_issue_id,in_reference_set,annotation_status,notes,is_pr_author
271,concurrency,aaronbrethorst,3736623463,review_body,,,"Hey Adel, sharp eye catching this race condition! The debug handler was indeed violating the `GetStaticData()` contract which clearly states ""Caller must hold manager.RLock() before calling this method.""
",Approval of the missing-RLock fix; no new issue raised.,process_other,H-271-3736623463-1,false,resolved,complimentary,false
354,concurrency,aaronbrethorst,3782222999,review_body,internal/gtfs/gtfs_manager.go,,"Hey Adel -- nice catch identifying the TOCTOU race condition in `GetAlertsForTrip`. You're absolutely right that accessing `manager.GtfsDB` without holding the static mutex is unsafe when `ForceUpdate` can nil it out concurrently. That said, the fix as implemented will introduce a deadlock, so I need to request changes.

## Critical

### Deadlock: Double `RLock()` from the same goroutine

The PR adds `manager.RLock()` / `manager.RUnlock()` inside `GetAlertsForTrip`, but **all three callers already hold `staticMutex.RLock()`**:

1. **`tripForVehicleHandler`** (`trip_for_vehicle_handler.go:98-99`):
   ```go
   api.GtfsManager.RLock()
   defer api.GtfsManager.RUnlock()
   // ... later at line 198:
   alerts := api.GtfsManager.GetAlertsForTrip(r.Context(), vehicle.Trip.ID.ID)
   ```

2. **`arrivalAndDepartureForStopHandler`** (`arrival_and_departure_for_stop_handler.go:116-117`):
   ```go
   api.GtfsManager.RLock()
   defer api.GtfsManager.RUnlock()
   // ... later at line 484:
   alerts := api.GtfsManager.GetAlertsForTrip(r.Context(), tripID)
   ```

3. **`GetSituationIDsForTrip`** (`trips_helper.go:769-771`):
   ```go
   // IMPORTANT: Caller must hold manager.RLock() before calling this method.
   func (api *RestAPI) GetSituationIDsForTrip(...) []string {
       alerts := api.GtfsManager.GetAlertsForTrip(ctx, tripID)
   ```

Go's `sync.RWMutex` is **not reentrant**. The deadlock scenario:

1. **Goroutine A** (HTTP handler): Holds first `RLock()` from the handler
2. **Goroutine B** (`ForceUpdate`): Calls `Lock()` at `static.go:251` -- blocks, waiting for A to release
3. **Goroutine A**: Enters `GetAlertsForTrip`, calls `RLock()` again -- **blocks** because B's pending `Lock()` takes priority over new readers
4. **Deadlock**: A waits for B, B waits for A

This is documented in Go's [`sync.RWMutex` docs](https://pkg.go.dev/sync#RWMutex):

> If any goroutine calls Lock while the lock is already held by one or more readers, concurrent calls to RLock will block until the writer has acquired (and released) the lock.

### Recommended fix

Follow the existing codebase pattern. Instead of locking inside `GetAlertsForTrip`, add the documentation comment that callers must hold the lock (they already do):

```go
// GetAlertsForTrip returns alerts matching the trip, its route, or agency.
// IMPORTANT: Caller must hold manager.RLock() before calling this method.
func (manager *Manager) GetAlertsForTrip(ctx context.Context, tripID string) []gtfs.Alert {
```

No `RLock()`/`RUnlock()` calls should be added inside the method. The callers already hold the lock, so the race condition is already protected -- the only thing missing is the documentation comment making this contract explicit.

## Important

### `GetSituationIDsForTrip` duplicates work

While reviewing this, I noticed that `GetSituationIDsForTrip` (`trips_helper.go:770-781`) calls `GetAlertsForTrip` and then immediately re-queries `GetTrip` and `GetRoute` to get the `agencyID` -- the exact same DB queries that `GetAlertsForTrip` already performs internally. This isn't introduced by this PR, but it's worth noting as a follow-up optimization.",Adding RLock inside GetAlertsForTrip deadlocks: callers already hold staticMutex and RWMutex is not reentrant.,defect,H-354-3782222999-1,true,resolved,,false
354,concurrency,aaronbrethorst,3782222999,review_body,internal/restapi/trips_helper.go,,"Hey Adel -- nice catch identifying the TOCTOU race condition in `GetAlertsForTrip`. You're absolutely right that accessing `manager.GtfsDB` without holding the static mutex is unsafe when `ForceUpdate` can nil it out concurrently. That said, the fix as implemented will introduce a deadlock, so I need to request changes.

## Critical

### Deadlock: Double `RLock()` from the same goroutine

The PR adds `manager.RLock()` / `manager.RUnlock()` inside `GetAlertsForTrip`, but **all three callers already hold `staticMutex.RLock()`**:

1. **`tripForVehicleHandler`** (`trip_for_vehicle_handler.go:98-99`):
   ```go
   api.GtfsManager.RLock()
   defer api.GtfsManager.RUnlock()
   // ... later at line 198:
   alerts := api.GtfsManager.GetAlertsForTrip(r.Context(), vehicle.Trip.ID.ID)
   ```

2. **`arrivalAndDepartureForStopHandler`** (`arrival_and_departure_for_stop_handler.go:116-117`):
   ```go
   api.GtfsManager.RLock()
   defer api.GtfsManager.RUnlock()
   // ... later at line 484:
   alerts := api.GtfsManager.GetAlertsForTrip(r.Context(), tripID)
   ```

3. **`GetSituationIDsForTrip`** (`trips_helper.go:769-771`):
   ```go
   // IMPORTANT: Caller must hold manager.RLock() before calling this method.
   func (api *RestAPI) GetSituationIDsForTrip(...) []string {
       alerts := api.GtfsManager.GetAlertsForTrip(ctx, tripID)
   ```

Go's `sync.RWMutex` is **not reentrant**. The deadlock scenario:

1. **Goroutine A** (HTTP handler): Holds first `RLock()` from the handler
2. **Goroutine B** (`ForceUpdate`): Calls `Lock()` at `static.go:251` -- blocks, waiting for A to release
3. **Goroutine A**: Enters `GetAlertsForTrip`, calls `RLock()` again -- **blocks** because B's pending `Lock()` takes priority over new readers
4. **Deadlock**: A waits for B, B waits for A

This is documented in Go's [`sync.RWMutex` docs](https://pkg.go.dev/sync#RWMutex):

> If any goroutine calls Lock while the lock is already held by one or more readers, concurrent calls to RLock will block until the writer has acquired (and released) the lock.

### Recommended fix

Follow the existing codebase pattern. Instead of locking inside `GetAlertsForTrip`, add the documentation comment that callers must hold the lock (they already do):

```go
// GetAlertsForTrip returns alerts matching the trip, its route, or agency.
// IMPORTANT: Caller must hold manager.RLock() before calling this method.
func (manager *Manager) GetAlertsForTrip(ctx context.Context, tripID string) []gtfs.Alert {
```

No `RLock()`/`RUnlock()` calls should be added inside the method. The callers already hold the lock, so the race condition is already protected -- the only thing missing is the documentation comment making this contract explicit.

## Important

### `GetSituationIDsForTrip` duplicates work

While reviewing this, I noticed that `GetSituationIDsForTrip` (`trips_helper.go:770-781`) calls `GetAlertsForTrip` and then immediately re-queries `GetTrip` and `GetRoute` to get the `agencyID` -- the exact same DB queries that `GetAlertsForTrip` already performs internally. This isn't introduced by this PR, but it's worth noting as a follow-up optimization.",GetSituationIDsForTrip re-queries trip/route that GetAlertsForTrip already loaded.,design,H-354-3782222999-2,false,resolved,reviewer marked pre-existing follow-up,false
354,concurrency,aaronbrethorst,3788071323,review_body,,,"Adel, perfect — this is exactly the right fix. The deadlock-inducing `RLock()`/`RUnlock()` calls are gone, replaced by the documentation comment making the caller-holds-lock contract explicit. Clean and correct.",Approval after the deadlock-inducing locks were removed.,process_other,H-354-3788071323-1,false,resolved,complimentary,false
372,concurrency,aaronbrethorst,3811930061,review_body,,,"Hey Aditya, nice work on this performance optimization. The map-based lookup for `RoutesForAgencyID` is a clean and effective improvement, and I appreciate that you also caught and fixed the data race in `AdvancedDirectionCalculator` along the way. The test coverage — especially the concurrent access test — shows good attention to thread safety. Before we can merge this, I will need you to make a couple changes:

## Important

1. **Squash into a single commit.** The branch has 3 commits (`fa8412f`, `f9d0652`, `0beb643`) that should be squashed into one clean commit. If you're not sure how to do this, check out this blog post I wrote: https://www.brethorsting.com/blog/2026/01/git-rebase-for-the-terrified/

## Fit and Finish

2. **Changelog-style comments on the mutex additions** (`advanced_direction_calculator.go:56`, `72`). The comments `// Mutex protection added for race safety` describe *why you changed the code*, not *what the code does*. Future readers won't have the PR context. Consider changing to something like `// Protect cache assignment from concurrent readers` or simply removing them — the `cacheMutex.Lock()` call is self-documenting.

Thanks again, and I look forward to merging this change.
",Squash the branch into a single commit.,process_other,H-372-3811930061-1,false,resolved,git process,false
372,concurrency,aaronbrethorst,3811930061,review_body,internal/gtfs/advanced_direction_calculator.go,,"Hey Aditya, nice work on this performance optimization. The map-based lookup for `RoutesForAgencyID` is a clean and effective improvement, and I appreciate that you also caught and fixed the data race in `AdvancedDirectionCalculator` along the way. The test coverage — especially the concurrent access test — shows good attention to thread safety. Before we can merge this, I will need you to make a couple changes:

## Important

1. **Squash into a single commit.** The branch has 3 commits (`fa8412f`, `f9d0652`, `0beb643`) that should be squashed into one clean commit. If you're not sure how to do this, check out this blog post I wrote: https://www.brethorsting.com/blog/2026/01/git-rebase-for-the-terrified/

## Fit and Finish

2. **Changelog-style comments on the mutex additions** (`advanced_direction_calculator.go:56`, `72`). The comments `// Mutex protection added for race safety` describe *why you changed the code*, not *what the code does*. Future readers won't have the PR context. Consider changing to something like `// Protect cache assignment from concurrent readers` or simply removing them — the `cacheMutex.Lock()` call is self-documenting.

Thanks again, and I look forward to merging this change.
","Replace changelog-style mutex comments with what the lock protects, or delete them.",style,H-372-3811930061-2,false,resolved,,false
372,concurrency,aaronbrethorst,3836860979,review_body,internal/gtfs/advanced_direction_calculator.go,,"Hey Aditya, the core optimization and the data race fix both look solid — the `buildRouteIndex` approach is clean, both `setStaticGTFS` and `ForceUpdate` rebuild the index correctly, and the concurrent access test is a nice addition. The squash and rebase is done too. One item from the first round still needs a quick pass, though.

## Previous Feedback Status

| # | Item | Status |
|---|------|--------|
| 1 | Squash into a single commit | Addressed |
| 2 | Changelog-style comments on mutex additions | **Not addressed** |

## Important

1. **Changelog-style comments are still present — and multiplied** (`advanced_direction_calculator.go`). The first round asked you to rephrase or remove `// Mutex protection added for race safety` because it describes *why you changed the code*, not *what the code does*. That exact comment is still on lines 56 and 72 in the diff. Two new instances of the same pattern were also added:

   - `// Mutex protection: Use RLock (Read Lock) for checking the cache` (in `computeFromShapes`)
   - `// Mutex protection: Use RLock for checking the cache` (in `calculateOrientationAtStop`)

   All four should either be removed (the `Lock()`/`RLock()` calls are self-documenting) or reworded to describe *what* the code does. For example:

   ```go
   // Protect cache from concurrent readers during assignment
   adc.cacheMutex.Lock()
   ```

   Or simply delete all four comments — `cacheMutex.Lock()` and `cacheMutex.RLock()` speak for themselves.

## Fit and Finish

2. **Self-explanatory comment in `RoutesForAgencyID`** (`gtfs_manager.go`): `// Return empty slice if no routes found for this agency` restates the `return []*gtfs.Route{}` line. Safe to remove.

3. **Comments in `buildRouteIndex`** (`static.go`): `// Pre-allocate based on agency count to avoid resizing` and `// Use pointer to avoid duplication` are accurate but slightly over-explain idiomatic Go patterns. Consider removing for brevity.

## Strengths

- The `buildRouteIndex` function follows the established `buildLookupMaps` pattern perfectly — same style, same location, easy to maintain.
- Both data paths (`setStaticGTFS` for initial load and `ForceUpdate` for hot-swap) correctly rebuild the index.
- The logging addition (`slog.Int(""route_index_agencies"", ...)`) is a nice operational touch.
- `TestRoutesForAgencyID_ConcurrentAccess` properly exercises reader/writer contention with `setStaticGTFS`.
- Adding `defer manager.Shutdown()` across existing tests is good housekeeping.
- The benchmark is a welcome addition for tracking regression.

## Recommended Action

1. Remove or reword the four changelog-style comments (item 1)
2. Consider the fit-and-finish items (items 2–3)
3. Squash again after changes
",Changelog-style mutex comments remain and were multiplied; remove or reword all four.,style,H-372-3836860979-1,false,resolved,,false
372,concurrency,aaronbrethorst,3836860979,review_body,internal/gtfs/gtfs_manager.go,,"Hey Aditya, the core optimization and the data race fix both look solid — the `buildRouteIndex` approach is clean, both `setStaticGTFS` and `ForceUpdate` rebuild the index correctly, and the concurrent access test is a nice addition. The squash and rebase is done too. One item from the first round still needs a quick pass, though.

## Previous Feedback Status

| # | Item | Status |
|---|------|--------|
| 1 | Squash into a single commit | Addressed |
| 2 | Changelog-style comments on mutex additions | **Not addressed** |

## Important

1. **Changelog-style comments are still present — and multiplied** (`advanced_direction_calculator.go`). The first round asked you to rephrase or remove `// Mutex protection added for race safety` because it describes *why you changed the code*, not *what the code does*. That exact comment is still on lines 56 and 72 in the diff. Two new instances of the same pattern were also added:

   - `// Mutex protection: Use RLock (Read Lock) for checking the cache` (in `computeFromShapes`)
   - `// Mutex protection: Use RLock for checking the cache` (in `calculateOrientationAtStop`)

   All four should either be removed (the `Lock()`/`RLock()` calls are self-documenting) or reworded to describe *what* the code does. For example:

   ```go
   // Protect cache from concurrent readers during assignment
   adc.cacheMutex.Lock()
   ```

   Or simply delete all four comments — `cacheMutex.Lock()` and `cacheMutex.RLock()` speak for themselves.

## Fit and Finish

2. **Self-explanatory comment in `RoutesForAgencyID`** (`gtfs_manager.go`): `// Return empty slice if no routes found for this agency` restates the `return []*gtfs.Route{}` line. Safe to remove.

3. **Comments in `buildRouteIndex`** (`static.go`): `// Pre-allocate based on agency count to avoid resizing` and `// Use pointer to avoid duplication` are accurate but slightly over-explain idiomatic Go patterns. Consider removing for brevity.

## Strengths

- The `buildRouteIndex` function follows the established `buildLookupMaps` pattern perfectly — same style, same location, easy to maintain.
- Both data paths (`setStaticGTFS` for initial load and `ForceUpdate` for hot-swap) correctly rebuild the index.
- The logging addition (`slog.Int(""route_index_agencies"", ...)`) is a nice operational touch.
- `TestRoutesForAgencyID_ConcurrentAccess` properly exercises reader/writer contention with `setStaticGTFS`.
- Adding `defer manager.Shutdown()` across existing tests is good housekeeping.
- The benchmark is a welcome addition for tracking regression.

## Recommended Action

1. Remove or reword the four changelog-style comments (item 1)
2. Consider the fit-and-finish items (items 2–3)
3. Squash again after changes
",Self-explanatory comment on empty RoutesForAgencyID return can be removed.,style,H-372-3836860979-2,false,resolved,,false
372,concurrency,aaronbrethorst,3836860979,review_body,internal/gtfs/static.go,,"Hey Aditya, the core optimization and the data race fix both look solid — the `buildRouteIndex` approach is clean, both `setStaticGTFS` and `ForceUpdate` rebuild the index correctly, and the concurrent access test is a nice addition. The squash and rebase is done too. One item from the first round still needs a quick pass, though.

## Previous Feedback Status

| # | Item | Status |
|---|------|--------|
| 1 | Squash into a single commit | Addressed |
| 2 | Changelog-style comments on mutex additions | **Not addressed** |

## Important

1. **Changelog-style comments are still present — and multiplied** (`advanced_direction_calculator.go`). The first round asked you to rephrase or remove `// Mutex protection added for race safety` because it describes *why you changed the code*, not *what the code does*. That exact comment is still on lines 56 and 72 in the diff. Two new instances of the same pattern were also added:

   - `// Mutex protection: Use RLock (Read Lock) for checking the cache` (in `computeFromShapes`)
   - `// Mutex protection: Use RLock for checking the cache` (in `calculateOrientationAtStop`)

   All four should either be removed (the `Lock()`/`RLock()` calls are self-documenting) or reworded to describe *what* the code does. For example:

   ```go
   // Protect cache from concurrent readers during assignment
   adc.cacheMutex.Lock()
   ```

   Or simply delete all four comments — `cacheMutex.Lock()` and `cacheMutex.RLock()` speak for themselves.

## Fit and Finish

2. **Self-explanatory comment in `RoutesForAgencyID`** (`gtfs_manager.go`): `// Return empty slice if no routes found for this agency` restates the `return []*gtfs.Route{}` line. Safe to remove.

3. **Comments in `buildRouteIndex`** (`static.go`): `// Pre-allocate based on agency count to avoid resizing` and `// Use pointer to avoid duplication` are accurate but slightly over-explain idiomatic Go patterns. Consider removing for brevity.

## Strengths

- The `buildRouteIndex` function follows the established `buildLookupMaps` pattern perfectly — same style, same location, easy to maintain.
- Both data paths (`setStaticGTFS` for initial load and `ForceUpdate` for hot-swap) correctly rebuild the index.
- The logging addition (`slog.Int(""route_index_agencies"", ...)`) is a nice operational touch.
- `TestRoutesForAgencyID_ConcurrentAccess` properly exercises reader/writer contention with `setStaticGTFS`.
- Adding `defer manager.Shutdown()` across existing tests is good housekeeping.
- The benchmark is a welcome addition for tracking regression.

## Recommended Action

1. Remove or reword the four changelog-style comments (item 1)
2. Consider the fit-and-finish items (items 2–3)
3. Squash again after changes
",buildRouteIndex comments over-explain idiomatic Go; consider removing.,style,H-372-3836860979-3,false,resolved,optional,false
372,concurrency,aaronbrethorst,3838476457,review_body,internal/gtfs/gtfs_manager_test.go,,"Hey Aditya, thanks for taking the time to build this performance optimization for `RoutesForAgencyID`. The approach of pre-computing a `routesByAgencyID` index at load time is clean, and I especially appreciate that you integrated it into both `setStaticGTFS` and `ForceUpdate` so the index stays consistent across hot-swaps. The test hygiene improvements — adding `defer manager.Shutdown()`, proper `RLock()/RUnlock()`, and cleaning up stale comments — are a nice bonus. Before we can merge this, I will need you to make a couple changes:

## Important

1. **Benchmark uses a hardcoded relative path instead of a computed absolute path.** In `BenchmarkRoutesForAgencyID_MapLookup` (`internal/gtfs/gtfs_manager_test.go:536`), you use `""../../testdata/raba.zip""` while every other test in the file uses `models.GetFixturePath(t, ""raba.zip"")`. The hardcoded path is fragile — it breaks if the test is run from a different working directory. Since `GetFixturePath` currently takes `*testing.T` and benchmarks use `*testing.B`, you'll need to update `GetFixturePath` in `internal/models/test_helpers.go` to accept `testing.TB` (which is satisfied by both `*testing.T` and `*testing.B`). Then you can use `models.GetFixturePath(b, ""raba.zip"")` in the benchmark.

2. **Concurrent access test uses `manager.staticMutex` directly instead of the public API.** In `TestRoutesForAgencyID_ConcurrentAccess` (`internal/gtfs/gtfs_manager_test.go:491-492`), the reader goroutines call `manager.staticMutex.RLock()` / `manager.staticMutex.RUnlock()` directly. This is inconsistent with the rest of the test file — for example, `TestRoutesForAgencyID_MapOptimization` uses `manager.RLock()` / `manager.RUnlock()`. Please switch to the public API for consistency.

## Fit and Finish

1. **Unnecessary locking in `TestRoutesForAgencyID_MapOptimization`.** The test acquires and releases `RLock` four separate times in sequence, but this is a single-threaded test with no concurrent writers. You could consolidate these into fewer lock regions. In particular, block 3 (lines 451-456) acquires `RLock` just to iterate over `publicRoutes`, which is a local variable — it doesn't access shared manager state, so no lock is needed there at all.

Thanks again, and I look forward to merging this change.",Benchmark uses a hardcoded relative testdata path that breaks off-cwd; accept testing.TB in GetFixturePath.,defect,H-372-3838476457-1,true,resolved,,false
