pr_number,source,stratum,author,merge_sha,title
271,additional_accepted,concurrency,3rabiii,c718a713adabe64fdc201533ea079717aaf15299,fix(concurrency): add missing RLock in debugIndexHandler
354,additional_accepted,concurrency,3rabiii,0ac83b202744ff53c4295605f18e350010ee2eb1,fix: resolve race condition in GetAlertsForTrip by adding read lock
372,additional_accepted,concurrency,ARCoder181105,f583f801f83a890fc109cb1e6ebb884221cb5c85,perf: Optimize RoutesForAgencyID lookup to O(1) and fix concurrency issues
457,additional_accepted,concurrency,tejasva-vardhan,e1044a52bfdca7b1297140514df56eb4b1724cf8,Fix data race in routesForAgencyHandler by adding RLock
507,original_candidate,api_gtfs,tejasva-vardhan,8328235a30ac0bdda6b964fae5d475f63af79389,fix: add panic recovery middleware for HTTP handlers
541,additional_accepted,concurrency,AhmedAlian7,7b254ab066f5a1b5a4ec253d37d7efae1e980df4,fix: eliminate potential deadlock in VehiclesForAgencyID and enforce lock ordering policy
691,additional_accepted,concurrency,AhmedAlian7,64bd948f107fbddc03e3e9f02cb16a2db9fc0d78,fix: resolve race condition and double HTTP write in location APIs
702,original_candidate,database,tejasva-vardhan,abebfc2f9193603f67b25ac6b976623623857826,refactor: extract withTransaction helper for GTFS bulk imports
756,additional_accepted,concurrency,AhmedAlian7,d61a365d2e8e0a4f95e36629de73b101b9a2199a,fix: eliminate double-locking by replacing lru.Cache with simplelru.LRU
1277,original_candidate,api_gtfs,Ahmedhossamdev,85548249a2606197593e42538b572d5c5a3a4abb,Fix: `includeTrip` / `includeStatus` interaction now matches the specification
1281,original_candidate,api_gtfs,Ahmedhossamdev,829e599eb56bc7af658d4b8a270b77e0bf5b3dee,Fix/trip for vehicle include references
1286,original_candidate,api_gtfs,3rabiii,2a5c6b8fd78274788d3521e50e0ab64d24ee1c52,fix: correct serviceDate for past-midnight trips
1288,original_candidate,database,3rabiii,09946324a7857ef48b85e36bd5f2e3131e495544,refactor: explicitly track referenced trips in buildTripReferences
1296,original_candidate,test_refactor,3rabiii,94b2035020db6a24300c293a4a227d0d03438b8e,Clock into ParseTimeParameter plus time-edge tests
1298,original_candidate,test_refactor,3rabiii,fc606b6f08446c715071bf1216ad39eb83afe2bf,test: add E2E coverage for DUPLICATED real-time trips
1300,original_candidate,test_refactor,3rabiii,d5e5408c5c652e7bf170782c771f8a4c1055ff09,test: add E2E coverage for status sub-object fields
1313,original_candidate,api_gtfs,ARCoder181105,20ab34ed6accbf304ea1cf183b993a830e56da15,Make situation references resolve on every endpoint
1315,original_candidate,api_gtfs,ARCoder181105,6730054733f7a00d347e2cfa817aa00ccd705116,Fix schedule timezone and outOfRange bounds in trips-for-location
1316,original_candidate,api_gtfs,ARCoder181105,347da6e2717d1b0e9c67faaaa1fb61caa160ae90,Report the service date a trip instance belongs to
1317,original_candidate,api_gtfs,ARCoder181105,83283747dfa02181ed3ec6ce9ff57d41cb0d4370,Return scheduled trips with no real-time vehicle
1329,original_candidate,api_gtfs,soumajitgh,f29b603548aee8bf1b6e4999e324c414513ced30,Fix multi-timezone trip service dates
1347,original_candidate,database,soumajitgh,710c2119b679bb54d062b192c9e5361c5ba1437d,Reuse resolved situations for arrivals
1348,original_candidate,api_gtfs,3rabiii,a201098396751da220cc596f39cd30e94ef592bc,Feat: GTFS Frequencies Phase 3 - API Integration & Handlers
1352,original_candidate,api_gtfs,Mister-Raggs,d032d04cd4fe01903c160746922d4f663f3e6424,Accept the documented time formats in stops-for-location
1359,original_candidate,test_refactor,ARCoder181105,dbddfa8ff53816b5c74695da1a407b717a39d614,routes-for-location spec test gaps
1372,original_candidate,database,ARCoder181105,b50f8aab7c43fee842a565b1106c11be25de5cc3,Precompute each stop agency at import time
1375,original_candidate,api_gtfs,priyanshu7739410,a84e19608feadd639096fe76cb792024daf9e6ca,Fix parent route agency references
1380,original_candidate,api_gtfs,yash170603,3d31989f2dd50bd5aec5820da974577b3eac57eb,Fix (#1046) : Stops fetch request by agency polluted by non-requested agencies stops.
1385,original_candidate,api_gtfs,ARCoder181105,c8269c4b4a04d65e73494af7b74e4a8aa9a03f87,Validate schedule-for-stop date before the agency lookup
1386,original_candidate,api_gtfs,ARCoder181105,4843520d82a4e79d51afedd27cf3504514a62b4c,Report headway-based service in schedule-for-stop frequencies
1404,original_candidate,api_gtfs,Ahmedhossamdev,cb2c54171d9004df29ca7f1d51e354179f676d15,fix: format readableTime in primary agency's timezone
1407,original_candidate,test_refactor,ARCoder181105,ead664441347f7ad0adaa7e61e2a2b5bb3842c47,Extract per-stop arrivals into shared functions
1428,original_candidate,concurrency,priyanshu7739410,239664889cbb9500a4943c4ba5ac386b4fd2b09a,fix(block): reset distanceAlongBlock between configurations
