pr_number,title,author,merge_sha,stratum,changed_files,changed_file_count,change_kind,review_count,human_review_present,independent_human_review_present,author_comments_present,bot_review_present,eligible_for_primary_gold,independent_human_logins,bot_logins,exclusion_reason,notes
1277,Fix: `includeTrip` / `includeStatus` interaction now matches the specification,Ahmedhossamdev,85548249a2606197593e42538b572d5c5a3a4abb,api_gtfs,internal/restapi/reference_utils.go;internal/restapi/trip_details_handler.go;internal/restapi/trip_details_handler_test.go;internal/restapi/trip_for_vehicle_handler.go;internal/restapi/trip_for_vehicle_handler_test.go;internal/utils/api.go;internal/utils/api_test.go,7,code,8,True,True,False,True,True,aaronbrethorst;burma-shave,coderabbitai[bot];github-actions[bot];sonarqubecloud[bot],,"bots=coderabbitai[bot],github-actions[bot],sonarqubecloud[bot]; humans=aaronbrethorst,burma-shave; candidate_stratum=api_gtfs"
1317,Return scheduled trips with no real-time vehicle,ARCoder181105,83283747dfa02181ed3ec6ce9ff57d41cb0d4370,api_gtfs,gtfsdb/db.go;gtfsdb/query.sql;gtfsdb/query.sql.go;internal/gtfs/gtfs_manager.go;internal/restapi/reference_utils.go;internal/restapi/reference_utils_test.go;internal/restapi/scheduled_block_helper.go;internal/restapi/scheduled_block_helper_test.go;internal/restapi/service_date_resolver_test.go;internal/restapi/trips_for_location_handler.go;internal/restapi/trips_for_location_handler_test.go;internal/restapi/trips_helper.go;internal/utils/geometry.go,13,code,17,True,True,True,True,True,aaronbrethorst;burma-shave,coderabbitai[bot];sonarqubecloud[bot],,"bots=coderabbitai[bot],sonarqubecloud[bot]; humans=ARCoder181105,aaronbrethorst,burma-shave; candidate_stratum=api_gtfs"
1316,Report the service date a trip instance belongs to,ARCoder181105,347da6e2717d1b0e9c67faaaa1fb61caa160ae90,api_gtfs,internal/restapi/service_date_resolver_test.go;internal/restapi/trips_for_location_handler.go;internal/restapi/trips_for_route_handler.go;internal/restapi/trips_for_route_handler_test.go;internal/restapi/trips_helper.go,5,code,23,True,True,True,True,True,Ahmedhossamdev;aaronbrethorst;burma-shave,coderabbitai[bot];sonarqubecloud[bot],,"bots=coderabbitai[bot],sonarqubecloud[bot]; humans=ARCoder181105,Ahmedhossamdev,aaronbrethorst,burma-shave; candidate_stratum=api_gtfs"
1352,Accept the documented time formats in stops-for-location,Mister-Raggs,d032d04cd4fe01903c160746922d4f663f3e6424,api_gtfs,internal/restapi/stops_for_location_handler.go;internal/restapi/stops_for_location_handler_test.go,2,code,3,True,True,True,True,True,aaronbrethorst;burma-shave,Copilot;coderabbitai[bot];copilot-pull-request-reviewer[bot];sonarqubecloud[bot],,"bots=Copilot,coderabbitai[bot],copilot-pull-request-reviewer[bot],sonarqubecloud[bot]; humans=Mister-Raggs,aaronbrethorst,burma-shave; candidate_stratum=api_gtfs"
1404,fix: format readableTime in primary agency's timezone,Ahmedhossamdev,cb2c54171d9004df29ca7f1d51e354179f676d15,api_gtfs,internal/models/current_time.go;internal/models/current_time_test.go;internal/restapi/current_time_handler.go;internal/restapi/current_time_handler_test.go,4,code,2,True,True,True,True,True,burma-shave,coderabbitai[bot];github-actions[bot];sonarqubecloud[bot],,"bots=coderabbitai[bot],github-actions[bot],sonarqubecloud[bot]; humans=Ahmedhossamdev,burma-shave; candidate_stratum=api_gtfs"
1313,Make situation references resolve on every endpoint,ARCoder181105,20ab34ed6accbf304ea1cf183b993a830e56da15,api_gtfs,internal/restapi/arrival_and_departure_for_stop_handler.go;internal/restapi/arrivals_and_departures_for_stop_handler.go;internal/restapi/reference_utils.go;internal/restapi/situation_references_test.go;internal/restapi/trip_details_handler.go;internal/restapi/trip_for_vehicle_handler.go;internal/restapi/trips_for_location_handler.go;internal/restapi/trips_for_location_handler_test.go;internal/restapi/trips_for_route_handler.go;internal/restapi/trips_for_route_handler_test.go;internal/restapi/trips_helper.go,11,code,15,True,True,True,True,True,Ahmedhossamdev;burma-shave,coderabbitai[bot];sonarqubecloud[bot],,"bots=coderabbitai[bot],sonarqubecloud[bot]; humans=ARCoder181105,Ahmedhossamdev,burma-shave; candidate_stratum=api_gtfs"
1380,Fix (#1046) : Stops fetch request by agency polluted by non-requested agencies stops.,yash170603,3d31989f2dd50bd5aec5820da974577b3eac57eb,api_gtfs,internal/restapi/reference_utils.go;internal/restapi/reference_utils_test.go;internal/restapi/stops_for_agency_handler.go;internal/restapi/stops_for_agency_handler_test.go;internal/restapi/stops_for_route_handler.go;internal/restapi/stops_for_route_handler_test.go,6,code,9,True,True,True,True,True,Ahmedhossamdev;burma-shave,CLAassistant;coderabbitai[bot];sonarqubecloud[bot],,"bots=CLAassistant,coderabbitai[bot],sonarqubecloud[bot]; humans=Ahmedhossamdev,burma-shave,yash170603; candidate_stratum=api_gtfs"
1286,fix: correct serviceDate for past-midnight trips,3rabiii,2a5c6b8fd78274788d3521e50e0ab64d24ee1c52,api_gtfs,internal/gtfs/gtfs_manager_mock.go;internal/restapi/trips_for_route_handler.go;internal/restapi/trips_for_route_handler_test.go,3,code,8,True,True,True,True,True,aaronbrethorst;burma-shave,coderabbitai[bot];sonarqubecloud[bot],,"bots=coderabbitai[bot],sonarqubecloud[bot]; humans=3rabiii,aaronbrethorst,burma-shave; candidate_stratum=api_gtfs"
1281,Fix/trip for vehicle include references,Ahmedhossamdev,829e599eb56bc7af658d4b8a270b77e0bf5b3dee,api_gtfs,internal/restapi/trip_for_vehicle_handler.go;internal/restapi/trip_for_vehicle_handler_test.go,2,code,2,True,True,False,True,True,aaronbrethorst,coderabbitai[bot];github-actions[bot];sonarqubecloud[bot],,"bots=coderabbitai[bot],github-actions[bot],sonarqubecloud[bot]; humans=aaronbrethorst; candidate_stratum=api_gtfs"
1385,Validate schedule-for-stop date before the agency lookup,ARCoder181105,c8269c4b4a04d65e73494af7b74e4a8aa9a03f87,api_gtfs,CONTRIBUTING.md;internal/restapi/schedule_for_stop_handler.go;internal/restapi/schedule_for_stop_handler_test.go;internal/utils/validation.go;internal/utils/validation_test.go,5,code,3,True,True,True,True,True,burma-shave,coderabbitai[bot];sonarqubecloud[bot],,"bots=coderabbitai[bot],sonarqubecloud[bot]; humans=ARCoder181105,burma-shave; candidate_stratum=api_gtfs"
