pr_number,merge_sha,stratum,author,changed_file_count,diff_available,reviews_available,issue_comments_available,independent_human_review,export_complete,export_error
271,c718a713adabe64fdc201533ea079717aaf15299,concurrency,3rabiii,1,True,True,True,True,True,
354,0ac83b202744ff53c4295605f18e350010ee2eb1,concurrency,3rabiii,1,True,True,True,True,True,
372,f583f801f83a890fc109cb1e6ebb884221cb5c85,concurrency,ARCoder181105,5,True,True,True,True,True,
457,e1044a52bfdca7b1297140514df56eb4b1724cf8,concurrency,tejasva-vardhan,1,True,True,True,True,True,
507,8328235a30ac0bdda6b964fae5d475f63af79389,api_gtfs,tejasva-vardhan,3,True,True,True,True,True,
541,7b254ab066f5a1b5a4ec253d37d7efae1e980df4,concurrency,AhmedAlian7,2,True,True,True,True,True,
691,64bd948f107fbddc03e3e9f02cb16a2db9fc0d78,concurrency,AhmedAlian7,4,True,True,True,True,True,
702,abebfc2f9193603f67b25ac6b976623623857826,database,tejasva-vardhan,4,True,True,True,True,True,
756,d61a365d2e8e0a4f95e36629de73b101b9a2199a,concurrency,AhmedAlian7,4,True,True,True,True,True,
1277,85548249a2606197593e42538b572d5c5a3a4abb,api_gtfs,Ahmedhossamdev,7,True,True,True,True,True,
1281,829e599eb56bc7af658d4b8a270b77e0bf5b3dee,api_gtfs,Ahmedhossamdev,2,True,True,True,True,True,
1286,2a5c6b8fd78274788d3521e50e0ab64d24ee1c52,api_gtfs,3rabiii,3,True,True,True,True,True,
1288,09946324a7857ef48b85e36bd5f2e3131e495544,database,3rabiii,2,True,True,True,True,True,
1296,94b2035020db6a24300c293a4a227d0d03438b8e,test_refactor,3rabiii,7,True,True,True,True,True,
1298,fc606b6f08446c715071bf1216ad39eb83afe2bf,test_refactor,3rabiii,2,True,True,True,True,True,
1300,d5e5408c5c652e7bf170782c771f8a4c1055ff09,test_refactor,3rabiii,1,True,True,True,True,True,
1313,20ab34ed6accbf304ea1cf183b993a830e56da15,api_gtfs,ARCoder181105,11,True,True,True,True,True,
1315,6730054733f7a00d347e2cfa817aa00ccd705116,api_gtfs,ARCoder181105,3,True,True,True,True,True,
1316,347da6e2717d1b0e9c67faaaa1fb61caa160ae90,api_gtfs,ARCoder181105,5,True,True,True,True,True,
1317,83283747dfa02181ed3ec6ce9ff57d41cb0d4370,api_gtfs,ARCoder181105,13,True,True,True,True,True,
1329,f29b603548aee8bf1b6e4999e324c414513ced30,api_gtfs,soumajitgh,2,True,True,True,True,True,
1347,710c2119b679bb54d062b192c9e5361c5ba1437d,database,soumajitgh,2,True,True,True,True,True,
1348,a201098396751da220cc596f39cd30e94ef592bc,api_gtfs,3rabiii,18,True,True,True,True,True,
1352,d032d04cd4fe01903c160746922d4f663f3e6424,api_gtfs,Mister-Raggs,2,True,True,True,True,True,
1359,dbddfa8ff53816b5c74695da1a407b717a39d614,test_refactor,ARCoder181105,1,True,True,True,True,True,
1372,b50f8aab7c43fee842a565b1106c11be25de5cc3,database,ARCoder181105,9,True,True,True,True,True,
1375,a84e19608feadd639096fe76cb792024daf9e6ca,api_gtfs,priyanshu7739410,2,True,True,True,True,True,
1380,3d31989f2dd50bd5aec5820da974577b3eac57eb,api_gtfs,yash170603,6,True,True,True,True,True,
1385,c8269c4b4a04d65e73494af7b74e4a8aa9a03f87,api_gtfs,ARCoder181105,5,True,True,True,True,True,
1386,4843520d82a4e79d51afedd27cf3504514a62b4c,api_gtfs,ARCoder181105,4,True,True,True,True,True,
1404,cb2c54171d9004df29ca7f1d51e354179f676d15,api_gtfs,Ahmedhossamdev,4,True,True,True,True,True,
1407,ead664441347f7ad0adaa7e61e2a2b5bb3842c47,test_refactor,ARCoder181105,2,True,True,True,True,True,
1428,239664889cbb9500a4943c4ba5ac386b4fd2b09a,concurrency,priyanshu7739410,2,True,True,True,True,True,
