pr_number,title,author,merge_sha,stratum,search_query,decision,eligible_for_primary_gold,independent_human_review_present,bot_review_present,independent_human_logins,exclusion_reason,notes
457,Fix data race in routesForAgencyHandler by adding RLock,tejasva-vardhan,e1044a52bfdca7b1297140514df56eb4b1724cf8,concurrency,race OR RLock OR mutex OR deadlock OR goroutine,accepted_additional,True,True,False,aaronbrethorst,,"PR author is tejasva-vardhan; author comments are never gold; humans=aaronbrethorst; candidate_stratum=concurrency; Accepted after inspecting GET /pulls/{n}/reviews, not the title alone."
354,fix: resolve race condition in GetAlertsForTrip by adding read lock,3rabiii,0ac83b202744ff53c4295605f18e350010ee2eb1,concurrency,race OR RLock OR mutex OR deadlock OR goroutine,accepted_additional,True,True,False,aaronbrethorst,,"humans=aaronbrethorst; candidate_stratum=concurrency; Accepted after inspecting GET /pulls/{n}/reviews, not the title alone."
372,perf: Optimize RoutesForAgencyID lookup to O(1) and fix concurrency issues,ARCoder181105,f583f801f83a890fc109cb1e6ebb884221cb5c85,concurrency,race OR RLock OR mutex OR deadlock OR goroutine,accepted_additional,True,True,False,aaronbrethorst,,"humans=aaronbrethorst; candidate_stratum=concurrency; Accepted after inspecting GET /pulls/{n}/reviews, not the title alone."
541,fix: eliminate potential deadlock in VehiclesForAgencyID and enforce lock ordering policy,AhmedAlian7,7b254ab066f5a1b5a4ec253d37d7efae1e980df4,concurrency,race OR RLock OR mutex OR deadlock OR goroutine,accepted_additional,True,True,False,aaronbrethorst,,"humans=aaronbrethorst; candidate_stratum=concurrency; Accepted after inspecting GET /pulls/{n}/reviews, not the title alone."
756,fix: eliminate double-locking by replacing lru.Cache with simplelru.LRU,AhmedAlian7,d61a365d2e8e0a4f95e36629de73b101b9a2199a,concurrency,race OR RLock OR mutex OR deadlock OR goroutine,accepted_additional,True,True,False,aaronbrethorst,,"humans=aaronbrethorst; candidate_stratum=concurrency; Accepted after inspecting GET /pulls/{n}/reviews, not the title alone."
691,fix: resolve race condition and double HTTP write in location APIs,AhmedAlian7,64bd948f107fbddc03e3e9f02cb16a2db9fc0d78,concurrency,race OR RLock OR mutex OR deadlock OR goroutine,accepted_additional,True,True,False,aaronbrethorst,,"humans=aaronbrethorst; candidate_stratum=concurrency; Accepted after inspecting GET /pulls/{n}/reviews, not the title alone."
271,fix(concurrency): add missing RLock in debugIndexHandler,3rabiii,c718a713adabe64fdc201533ea079717aaf15299,concurrency,race OR RLock OR mutex OR deadlock OR goroutine,accepted_additional,True,True,False,aaronbrethorst,,"humans=aaronbrethorst; candidate_stratum=concurrency; Accepted after inspecting GET /pulls/{n}/reviews, not the title alone."
456,fix(restapi): add missing RLock in routesForAgencyHandler,ARCoder181105,,concurrency,race OR RLock OR mutex OR deadlock,rejected,False,True,False,aaronbrethorst,duplicate_of_457,"aaronbrethorst approved the same routesForAgencyHandler RLock as #457 on the same day. Independent review exists, but including both would double-count one missing-lock issue."
1410,chore(deps): bump modernc.org/sqlite from 1.56.0 to 1.57.0,dependabot[bot],,concurrency,race OR RLock OR mutex OR deadlock,rejected,False,False,True,,bot_authored,Dependabot search hit. Not human gold.
1319,chore(deps): bump modernc.org/sqlite from 1.55.0 to 1.56.0,dependabot[bot],,concurrency,race OR RLock OR mutex OR deadlock,rejected,False,False,True,,bot_authored,Dependabot search hit. Not human gold.
1266,chore(deps): bump modernc.org/sqlite from 1.54.0 to 1.55.0,dependabot[bot],,concurrency,race OR RLock OR mutex OR deadlock,rejected,False,False,True,,bot_authored,Dependabot search hit. Not human gold.
1190,chore(deps): bump modernc.org/sqlite from 1.53.0 to 1.54.0,dependabot[bot],,concurrency,race OR RLock OR mutex OR deadlock,rejected,False,False,True,,bot_authored,Dependabot search hit. Not human gold.
1422,chore(deps): bump modernc.org/sqlite from 1.57.0 to 1.58.0,dependabot[bot],,concurrency,race OR RLock OR mutex OR deadlock,rejected,False,False,True,,bot_authored,Dependabot search hit. Not human gold.
1300,test: add E2E coverage for status sub-object fields,3rabiii,d5e5408c5c652e7bf170782c771f8a4c1055ff09,test_refactor,race OR RLock OR mutex OR deadlock,already_in_candidate_list,True,True,False,aaronbrethorst,,Keyword hit because review text mentions race. Already in the frozen 30.
1298,test: add E2E coverage for DUPLICATED real-time trips,3rabiii,,test_refactor,race OR RLock OR mutex OR deadlock,already_in_candidate_list,True,True,False,aaronbrethorst,,Keyword hit. Already in the frozen 30.
1284,search-route: complete test coverage and spec verification,ARCoder181105,900fdbedce60cd5b7393572b970826714916018c,test_refactor,race OR RLock OR mutex OR deadlock,already_in_candidate_list,False,False,True,,independent_human_not_meaningful,In original 30. Independent human left only LGTM plus empty reviews.
1374,Stop caching real-time responses as static,ARCoder181105,0ef9904ce5da6d4b04e70ce9a134416b272e5969,concurrency,race OR RLock OR mutex OR deadlock,already_in_candidate_list,False,False,True,,independent_human_not_meaningful,In original 30. Independent human left only an empty APPROVED review.
1428,Reset distanceAlongBlock between configurations,priyanshu7739410,239664889cbb9500a4943c4ba5ac386b4fd2b09a,concurrency,race OR RLock OR mutex OR deadlock,already_in_candidate_list,True,True,False,omlahore,,Usable concurrency PR already in the frozen 30.
1351,Honor includeReferences in stops-for-location,Mister-Raggs,,api_gtfs,race,rejected,False,False,False,,keyword_hit_not_concurrency_review,Search matched the word race in comments or tests. Not accepted as an additional concurrency gold PR.
875,refactor: reuse sql DB on GTFS reload,fletcherw,,database,mutex OR RLock OR deadlock,rejected,False,False,False,,not_selected_after_search,Mutex/reload search hit. Not added because this Phase 4 pass selected only lock/race PRs whose review thread was inspected and independent.
