pr_number,pilot,diff_bytes,changed_go_files,post_merge_context_lines,approx_input_tokens,max_output_tokens,estimated_max_token_usage
271,false,491,1,49,681,4096,4777
354,false,659,1,51,808,4096,4904
372,false,14928,5,719,9304,4096,13400
457,false,533,1,38,683,4096,4779
507,false,8665,3,291,4736,4096,8832
541,false,3494,2,277,3331,4096,7427
691,false,11583,4,606,7679,4096,11775
702,true,18341,4,509,8960,4096,13056
756,false,6424,4,457,5688,4096,9784
1277,false,34912,7,953,17476,4096,21572
1281,false,4649,2,271,3688,4096,7784
1286,false,32789,3,600,13872,4096,17968
1288,false,13559,2,400,7515,4096,11611
1296,false,10157,7,768,9139,4096,13235
1298,false,9661,2,256,6232,4096,10328
1300,false,4724,1,200,4547,4096,8643
1313,false,67181,11,1925,33800,4096,37896
1315,false,3130,3,150,2251,4096,6347
1316,false,25013,5,798,13748,4096,17844
1317,false,83028,12,1595,35876,4096,39972
1329,false,14816,2,400,7460,4096,11556
1347,false,4037,2,151,2921,4096,7017
1348,false,104054,18,2814,52830,4096,56926
1352,false,6573,2,321,4564,4096,8660
1359,false,7842,1,200,4256,4096,8352
1372,false,26850,7,980,15345,4096,19441
1375,false,5042,2,164,3388,4096,7484
1380,false,20086,6,721,12085,4096,16181
1385,false,8361,4,257,4241,4096,8337
1386,false,14532,4,414,8077,4096,12173
1404,true,6528,4,275,4259,4096,8355
1407,false,49818,2,400,16408,4096,20504
1428,true,2344,2,106,1800,4096,5896
